path,dataset,speaker_id,label,extension,file_size_bytes,duration_seconds,sample_rate,channels,readable,usable,reject_reason,sha1
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part000.wav,datagroup1,v01,real,.wav,442446,5.015510,44100,1,True,True,,74c8ca67577f5ae6540b1a7e421764c3260183f9
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part001.wav,datagroup1,v01,real,.wav,442446,5.015510,44100,1,True,True,,e5b0089049c85a0a816ddb4df3c49e33f014cbbb
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part002.wav,datagroup1,v01,real,.wav,442446,5.015510,44100,1,True,True,,a6b10deaaee6738121d660ce6300078276e389ef
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part003.wav,datagroup1,v01,real,.wav,442446,5.015510,44100,1,True,True,,ebaed2c7d5ce84998dbb006b0cb4111ea8b34cf9
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part004.wav,datagroup1,v01,real,.wav,442446,5.015510,44100,1,True,True,,55749922c78edb2bd7160595c9ee50bffe502c48
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part005.wav,datagroup1,v01,real,.wav,434254,4.922630,44100,1,True,True,,62a869b8aa5a6604637ada41cdc9793314c54338
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part006.wav,datagroup1,v01,real,.wav,442446,5.015510,44100,1,True,True,,a3f27caefd984d7c2aae0435c3cb8bdd21807dad
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part007.wav,datagroup1,v01,real,.wav,442446,5.015510,44100,1,True,True,,c990c7e6e8e2ffa9a52c9ed46654d33a2ffa9ba7
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part008.wav,datagroup1,v01,real,.wav,442446,5.015510,44100,1,True,True,,28dd98c645cd010c92405c9c226d9f48ce0fbcd9
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\really_voices\j01_part009.wav,datagroup1,v01,real,.wav,442446,5.015510,44100,1,True,True,,8d5e8539e5121eb72a3d53a51ca24743527b216b
