normalized_path,source_path,dataset,speaker_id,label,duration_seconds,rms_dbfs,peak,active_ratio,source_extension,source_sha1,normalized_sha1,accepted,reject_reason
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part000_cb1b356513.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part000.wav,datagroup1,v01,cloned,4.887562,-16.915,0.950012,0.829772,.wav,cb1b3565139a7e5cf315fd4b3481000a1c1b893f,2c19bd04b01273c3d3862363acf3624e21861e7e,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part001_6c75475486.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part001.wav,datagroup1,v01,cloned,4.576000,-22.769,0.950012,0.958042,.wav,6c75475486c7c11c75c89d4924491a4a0bd71339,2ed60ece503cb0b8b37d8de7880eb6430959cd24,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part002_fd64d1370d.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part002.wav,datagroup1,v01,cloned,4.663563,-15.787,0.949982,0.993138,.wav,fd64d1370dd04504895c8316d48b3420cd48e5ca,fe17e16c6d2cc1579b45571f2a4c31ee29413845,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part003_6916093f62.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part003.wav,datagroup1,v01,cloned,4.957438,-18.150,0.950012,0.786987,.wav,6916093f6294da8aa35761969fcab306711f268f,3847134368ae7f7423993ade1e233158a5f09193,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part004_dcdfe7a4ad.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part004.wav,datagroup1,v01,cloned,5.015562,-16.364,0.949982,0.891538,.wav,dcdfe7a4ad42d057de2c6ade3e777e40e6305d84,b6e828e43a3a1274fea403c955f911197331f4eb,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part005_b83c1626c5.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part005.wav,datagroup1,v01,cloned,4.989438,-18.166,0.949982,0.858902,.wav,b83c1626c5ee60241a4d242eaafbd124c7ec346e,c37a79693ba33e219aecb533bb67a2fc1b13f29b,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part006_409a3d687e.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part006.wav,datagroup1,v01,cloned,4.989438,-21.828,0.949982,0.884556,.wav,409a3d687e5b369ef6ec469e0e240353e8041259,9ad17ec7876206fec996be952a54d64775433016,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part007_30cddad555.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part007.wav,datagroup1,v01,cloned,5.015562,-16.783,0.949982,0.827736,.wav,30cddad55552197a0de3e58330dea982ea459415,418147d94bdf0d2344b71b71238be2976016705b,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part008_9a42821321.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part008.wav,datagroup1,v01,cloned,4.989438,-15.185,0.949982,0.852488,.wav,9a42821321baa21b4235a6377ee02b1b12eca04b,cd3dcb7a38232384b5aa9ed75b53f020d638c2ef,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part009_1e190cca10.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part009.wav,datagroup1,v01,cloned,5.015562,-18.307,0.949982,0.878777,.wav,1e190cca10b22bf084b7cc727c2e731f096d33f3,29f9f98429b5040590470ecd280edefb9360c688,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part010_ac8000de66.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part010.wav,datagroup1,v01,cloned,4.989438,-17.885,0.949982,0.653668,.wav,ac8000de666729d6b76996d4097622f1c19f9f78,362fe39d163ff11ca0f4b547079973a784662aa5,True,
C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\prepared_audio\datagroup1\v01\cloned\j01_part011_ddbd63c4f6.wav,C:\Users\MICROSPACE\Desktop\matt\aiclone\aiworks\datagroup1\v01\cloned_voices\j01_part011.wav,datagroup1,v01,cloned,4.989438,-19.584,0.949982,0.801180,.wav,ddbd63c4f6916cd2c531778f9cc7262c501eb2d4,16aa0fca54fc5a1114a57fc730c8c0fdaefa95db,True,
